POSTAL,chinese_buyer,chinese_seller,malay_buyer,malay_seller,indian_buyer,indian_seller
730001,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can only buy from Malay flat sellers, regardless of their citizenship.","You can only sell your flat to Malay or Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can only buy from Indian and Other Ethnic Groups flat sellers, regardless of their citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
260001,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
320001,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
680001,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
090001,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
082001,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
085101,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
085201,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
085301,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
085501,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
085601,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
085701,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
400010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
161010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
391010,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
180010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
320010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
680010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
090010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
590010,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
332010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
164010,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
312010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
333010,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
462010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
463010,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
464010,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
465010,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
460100,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
140100,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
310100,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
320100,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
380101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
560101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
470101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Chinese or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can only buy from Malay flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
460101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
570101,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
090101,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
120101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
670101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
410101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
510101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can only buy from Malay flat sellers, regardless of their citizenship.","You can only sell your flat to Malay or Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can only buy from Indian and Other Ethnic Groups flat sellers, regardless of their citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
350101,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
540101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
550101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
520101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
521101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
680101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
322101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
730101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Chinese or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can only buy from Malay flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
760101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Chinese or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can only buy from Malay flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Chinese buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
341101,no records found,no records found,no records found,no records found,no records found,no records found
751101,no records found,no records found,no records found,no records found,no records found,no records found
310101,"You can only buy from Chinese flat sellers, regardless of their citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Malay or Indian/ Other Ethnic Groups buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can only sell your flat to Indian/ Other Ethnic Groups or Malay buyers. The buyers can be Singapore citizens, Malaysian SPRs or non-Malaysian SPRs."
821101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
752101,no records found,no records found,no records found,no records found,no records found,no records found
311101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
822101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
824101,"You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship.","You can buy from any flat seller, regardless of their ethnic group and citizenship.","You can sell your flat to any buyer, regardless of their ethnic group and citizenship."
