blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,Address,Latitude,Longitude
459,JURONG WEST ST 41,12,1983,Y,N,N,Y,N,N,JW,110,0,0,66,44,0,0,0,0,0,0,0,0,459 JURONG WEST ST 41,1.28400968071886,103.827421421303
459,PASIR RIS DR 4,12,1992,Y,N,N,N,N,N,PRC,66,0,0,0,0,0,66,0,0,0,0,0,0,459 PASIR RIS DR 4,1.33858279721249,103.85719237771
459,SEGAR RD,16,2014,Y,N,N,Y,N,N,BP,120,0,0,30,90,0,0,0,0,0,0,0,0,459 SEGAR RD,1.34943810795905,103.877326449296
459,TAMPINES ST 42,12,1986,Y,N,N,N,N,N,TAP,136,0,0,0,136,0,0,0,0,0,0,0,0,459 TAMPINES ST 42,1.30378544168669,103.916495343331
459,YISHUN AVE 11,13,2012,Y,N,N,N,N,N,YS,192,0,144,48,0,0,0,0,0,0,0,0,0,459 YISHUN AVE 11,1.44207297644105,103.776353990531
459A,SENGKANG WEST WAY,14,2022,Y,N,N,N,N,N,SK,169,0,130,26,13,0,0,0,0,0,0,0,0,459A SENGKANG WEST WAY,1.27814968064651,103.818475325512
459B,SENGKANG WEST WAY,14,2022,Y,N,N,N,N,N,SK,169,0,143,26,0,0,0,0,0,0,0,0,0,459B SENGKANG WEST WAY,1.33777302768485,103.775130712626
46,BENDEMEER RD,21,1993,Y,N,N,N,N,N,KWN,64,0,0,0,0,0,64,0,0,0,0,0,0,46 BENDEMEER RD,1.3245410846025,103.921238276299
46,CIRCUIT RD,10,1964,Y,N,N,N,N,N,GL,116,0,28,83,4,0,0,0,0,0,1,0,0,46 CIRCUIT RD,1.30728534060674,103.888505580319
46,HOLLAND DR,4,1974,Y,Y,N,N,N,N,QT,19,0,0,19,0,0,0,0,0,0,0,0,0,46 HOLLAND DR,1.32282118210161,103.869177870562
46,JLN BT HO SWEE,10,1964,Y,Y,N,N,N,N,BM,105,0,0,102,3,0,0,0,0,0,0,0,0,46 JLN BT HO SWEE,1.32796226326368,103.857121617047
46,JLN BAHAGIA,2,1959,Y,N,N,N,N,N,KWN,8,0,0,8,0,0,0,0,0,0,0,0,0,46 JLN BAHAGIA,1.33632813877246,103.850756428954
46,LENGKOK BAHRU,12,1983,Y,N,N,Y,N,N,BM,88,0,0,0,66,22,0,0,0,0,0,0,0,46 LENGKOK BAHRU,1.30338982213302,103.908553539684
46,LOR 5 TOA PAYOH,13,1992,Y,N,N,Y,N,N,TP,90,0,0,0,0,90,0,0,0,0,0,0,0,46 LOR 5 TOA PAYOH,1.32247807692488,103.941254614647
46,MARINE CRES,12,1975,Y,N,N,Y,N,N,MP,109,0,0,108,0,1,0,0,0,0,0,0,0,46 MARINE CRES,1.29308587206923,103.81188488444
46,OWEN RD,8,1978,Y,Y,N,N,N,N,KWN,88,0,0,75,13,0,0,0,0,0,0,0,0,46 OWEN RD,1.32275524437283,103.738658086826
46,SENG POH RD,4,1949,Y,N,N,N,N,N,BM,16,0,0,16,0,0,0,0,0,0,0,0,0,46 SENG POH RD,1.27607895768865,103.812157206469
46,STIRLING RD,2,1963,Y,N,N,N,N,N,QT,6,0,0,0,6,0,0,0,0,0,0,0,0,46 STIRLING RD,1.33006721315152,103.911619264196
46,TEBAN GDNS RD,4,1986,Y,N,N,N,N,N,JE,24,0,0,0,0,0,24,0,0,0,0,0,0,46 TEBAN GDNS RD,1.30477461299303,103.765253754328
46,TELOK BLANGAH DR,4,1975,Y,Y,N,N,N,N,BM,19,0,0,19,0,0,0,0,0,0,0,0,0,46 TELOK BLANGAH DR,1.37785936475213,103.94350622134
460,ANG MO KIO AVE 10,25,1979,Y,Y,N,N,N,N,AMK,96,0,0,0,0,96,0,0,0,0,0,0,0,460 ANG MO KIO AVE 10,1.37067892109565,103.887136594745
460,CHOA CHU KANG AVE 4,16,1998,Y,N,N,N,N,N,CCK,60,0,0,0,45,15,0,0,0,0,0,0,0,460 CHOA CHU KANG AVE 4,1.38191601013855,103.762499853661
460,CLEMENTI AVE 3,25,2001,Y,N,N,N,N,N,CL,96,0,0,0,96,0,0,0,0,0,0,0,0,460 CLEMENTI AVE 3,1.43864718901423,103.796518065481
460,HOUGANG AVE 10,16,1991,Y,N,N,N,N,N,HG,68,0,0,0,12,56,0,0,0,0,0,0,0,460 HOUGANG AVE 10,1.40246846595119,103.907582202598
460,JURONG WEST ST 41,12,1983,Y,Y,N,N,N,N,JW,110,0,0,0,110,0,0,0,0,0,0,0,0,460 JURONG WEST ST 41,1.36075948651835,103.936832524812
460,PASIR RIS DR 4,12,1992,Y,N,N,N,N,N,PRC,66,0,0,0,0,0,66,0,0,0,0,0,0,460 PASIR RIS DR 4,1.3608827749542,103.937510784188
460,SEGAR RD,16,2014,Y,N,N,N,N,N,BP,90,0,0,30,60,0,0,0,0,0,0,0,0,460 SEGAR RD,1.40267896973516,103.908106143006
460,TAMPINES ST 42,11,1987,Y,N,N,Y,N,N,TAP,50,0,0,0,0,0,0,50,0,0,0,0,0,460 TAMPINES ST 42,1.40296400750639,103.907847415747
